epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
92,11863.6,0.33972,0.82294,1,0.37414,0.0054955,0.0054955,0.0054955
93,11935.3,0.33882,0.82571,1,0.37032,0.005446,0.005446,0.005446
94,12005.5,0.33149,0.82904,1,0.36651,0.0053965,0.0053965,0.0053965
95,12075.6,0.34051,0.83126,1,0.36302,0.005347,0.005347,0.005347
96,12140.1,0.34022,0.83359,1,0.35957,0.0052975,0.0052975,0.0052975
97,12210.8,0.34118,0.83603,1,0.35556,0.005248,0.005248,0.005248
98,12282.2,0.32825,0.83914,1,0.35202,0.0051985,0.0051985,0.0051985
99,12350.5,0.33196,0.84125,1,0.34863,0.005149,0.005149,0.005149
100,12423,0.32968,0.84392,1,0.34463,0.0050995,0.0050995,0.0050995
101,12494.6,0.33213,0.84691,1,0.34122,0.00505,0.00505,0.00505
102,12566.6,0.32808,0.84758,1,0.33883,0.0050005,0.0050005,0.0050005
103,12639,0.33061,0.84969,1,0.33575,0.004951,0.004951,0.004951
104,12710.1,0.33393,0.85069,1,0.33433,0.0049015,0.0049015,0.0049015
105,12782.1,0.3292,0.85102,1,0.33229,0.004852,0.004852,0.004852
106,12855.7,0.32827,0.85235,1,0.32984,0.0048025,0.0048025,0.0048025
107,12926.7,0.32326,0.85391,1,0.32712,0.004753,0.004753,0.004753
108,12998.6,0.32495,0.85602,1,0.32454,0.0047035,0.0047035,0.0047035
109,13071,0.32204,0.85502,1,0.32383,0.004654,0.004654,0.004654
110,13142.9,0.31741,0.85679,1,0.32128,0.0046045,0.0046045,0.0046045
111,13211.6,0.3151,0.85813,1,0.31885,0.004555,0.004555,0.004555
112,13279.6,0.32113,0.86024,1,0.31636,0.0045055,0.0045055,0.0045055
113,13351.9,0.31809,0.8619,1,0.31393,0.004456,0.004456,0.004456
114,13426.7,0.31675,0.86268,1,0.31248,0.0044065,0.0044065,0.0044065
115,13502.1,0.31671,0.8639,1,0.31036,0.004357,0.004357,0.004357
116,13574.6,0.31157,0.86412,1,0.3085,0.0043075,0.0043075,0.0043075
117,13648.1,0.31503,0.86512,1,0.30679,0.004258,0.004258,0.004258
118,13723.7,0.31863,0.86623,1,0.30481,0.0042085,0.0042085,0.0042085
119,13792.5,0.31721,0.86701,1,0.30328,0.004159,0.004159,0.004159
120,13862.3,0.31165,0.86812,1,0.30155,0.0041095,0.0041095,0.0041095
121,13929.6,0.30588,0.86856,1,0.30009,0.00406,0.00406,0.00406
122,13995,0.30882,0.86923,1,0.29885,0.0040105,0.0040105,0.0040105
123,14067.4,0.31479,0.86989,1,0.29687,0.003961,0.003961,0.003961
124,14135.2,0.309,0.87111,1,0.29506,0.0039115,0.0039115,0.0039115
125,14206.9,0.29938,0.87089,1,0.29476,0.003862,0.003862,0.003862
126,14278.7,0.30625,0.87067,1,0.29399,0.0038125,0.0038125,0.0038125
127,14349.8,0.30629,0.87012,1,0.29358,0.003763,0.003763,0.003763
128,14420.1,0.30606,0.87034,1,0.29285,0.0037135,0.0037135,0.0037135
129,14490.9,0.29062,0.87045,1,0.29181,0.003664,0.003664,0.003664
130,14562.5,0.29881,0.87034,1,0.29098,0.0036145,0.0036145,0.0036145
131,14633.1,0.29176,0.87067,1,0.28876,0.003565,0.003565,0.003565
132,14706.4,0.29425,0.873,1,0.28644,0.0035155,0.0035155,0.0035155
133,14778.3,0.28887,0.87378,1,0.28445,0.003466,0.003466,0.003466
134,14848.5,0.29328,0.87478,1,0.28201,0.0034165,0.0034165,0.0034165
135,14915.6,0.29487,0.87644,1,0.27884,0.003367,0.003367,0.003367
136,14987.4,0.28962,0.87733,1,0.27616,0.0033175,0.0033175,0.0033175
137,15058.1,0.2871,0.87988,1,0.27281,0.003268,0.003268,0.003268
138,15126.8,0.28219,0.88044,1,0.27027,0.0032185,0.0032185,0.0032185
139,15199.4,0.28642,0.88133,1,0.26815,0.003169,0.003169,0.003169
140,15270,0.27941,0.8831,1,0.26503,0.0031195,0.0031195,0.0031195
141,15340.8,0.28474,0.8851,1,0.26235,0.00307,0.00307,0.00307
142,15411.3,0.27908,0.88754,1,0.2595,0.0030205,0.0030205,0.0030205
143,15485.4,0.28804,0.8891,1,0.2571,0.002971,0.002971,0.002971
144,15553.2,0.27468,0.89198,1,0.2535,0.0029215,0.0029215,0.0029215
145,15625.8,0.2777,0.89354,1,0.25099,0.002872,0.002872,0.002872
146,15693.9,0.27284,0.89631,1,0.24721,0.0028225,0.0028225,0.0028225
147,15762.7,0.26704,0.89754,1,0.24475,0.002773,0.002773,0.002773
148,15835.8,0.2815,0.89831,1,0.24237,0.0027235,0.0027235,0.0027235
149,15907.4,0.26596,0.89898,1,0.24007,0.002674,0.002674,0.002674
150,15979.9,0.2734,0.89998,1,0.23814,0.0026245,0.0026245,0.0026245
151,16052.9,0.27168,0.9012,1,0.23535,0.002575,0.002575,0.002575
152,16123.5,0.27016,0.90264,1,0.23337,0.0025255,0.0025255,0.0025255
153,16195.5,0.26842,0.90397,1,0.23037,0.002476,0.002476,0.002476
154,16265.7,0.26212,0.90464,1,0.22835,0.0024265,0.0024265,0.0024265
155,16337.4,0.2639,0.90497,1,0.2267,0.002377,0.002377,0.002377
156,16409.1,0.25965,0.90531,1,0.22539,0.0023275,0.0023275,0.0023275
157,16480.7,0.26301,0.90564,1,0.22406,0.002278,0.002278,0.002278
158,16554.2,0.26116,0.90564,1,0.22349,0.0022285,0.0022285,0.0022285
